Fetching sequences for InterPro entry IPR036385...
Fetching page 1...
Retrieved sequence 247: A0A0A2BFH8
Retrieved sequence 248: A0A0A2BQR4
Retrieved sequence 249: A0A0A2BZ65
Retrieved sequence 250: A0A0A2CL67
Retrieved sequence 251: A0A0A3Y157
Retrieved sequence 252: A0A0A6NYT1
Retrieved sequence 253: A0A0A9DYZ7
Retrieved sequence 254: A0A0B0MQD9
Retrieved sequence 255: A0A0B0P1I9
Retrieved sequence 256: A0A0B1QA30
Retrieved sequence 257: A0A0B2PDP9
Retrieved sequence 258: A0A0B2PDZ3
Retrieved sequence 259: A0A0B2PIX6
Retrieved sequence 260: A0A0B2PXC7
Retrieved sequence 261: A0A0B2QBI8
Retrieved sequence 262: A0A0B2QS78
Retrieved sequence 263: A0A0B2SRZ9
Retrieved sequence 264: A0A0B4XC52
Retrieved sequence 265: A0A0B5W3L0
Retrieved sequence 266: A0A0B8NK32
Retrieved sequence 267: A0A0C1NC37
Retrieved sequence 268: A0A0C1NHL8
Retrieved sequence 269: A0A0C1RAJ7
Retrieved sequence 270: A0A0C1UMH8
Retrieved sequence 271: A0A0C1VBY1
Retrieved sequence 272: A0A0C1Y5I2
Retrieved sequence 273: A0A0C1YJR0
Retrieved sequence 274: A0A0C2BYT9
Retrieved sequence 275: A0A0C3REG0
Retrieved sequence 276: A0A0C3RME4
Retrieved sequence 277: A0A0C3SG51
Retrieved sequence 278: A0A0C4ZNL8
Retrieved sequence 279: A0A0C4ZPU1
Retrieved sequence 280: A0A0C5DLQ0
Retrieved sequence 281: A0A0C9S6L9
Retrieved sequence 282: A0A0D2L1R1
Retrieved sequence 283: A0A0D2MJR3
Retrieved sequence 284: A0A0D2QTB3
Retrieved sequence 285: A0A0D2RN76
Retrieved sequence 286: A0A0D2SMB8
Retrieved sequence 287: A0A0D2ZXG6
Retrieved sequence 288: A0A0D3ANI1
Retrieved sequence 289: A0A0D3ANI2
Retrieved sequence 290: A0A0D3ANI5
Retrieved sequence 291: A0A0D3BZL6
Retrieved sequence 292: A0A0D3BZL7
Retrieved sequence 293: A0A0D3BZM2
Retrieved sequence 294: A0A0D3C0Q5
Retrieved sequence 295: A0A0D3CSW6
Retrieved sequence 296: A0A0D3F0T5
Retrieved sequence 297: A0A0D3HT79
Retrieved sequence 298: A0A0D3HTH6
Retrieved sequence 299: A0A0D3HTH7
Retrieved sequence 300: A0A0D3HTH8
Fetching page 4...
Retrieved sequence 301: A0A0D3M5L1
Retrieved sequence 302: A0A0D3MK58
Retrieved sequence 303: A0A0D3RLW9
Retrieved sequence 304: A0A0D3RMU6
Retrieved sequence 305: A0A0D3RPV9
Retrieved sequence 306: A0A0D6ABV8
Retrieved sequence 307: A0A0D6AE45
Retrieved sequence 308: A0A0D6AKX7
Retrieved sequence 309: A0A0D6AV50
Retrieved sequence 310: A0A0D6B692
Retrieved sequence 311: A0A0D6KLP7
Retrieved sequence 312: A0A0D6KUL4
Retrieved sequence 313: A0A0D6KV73
Retrieved sequence 314: A0A0D6P7E2
Retrieved sequence 315: A0A0D6R8I3
Retrieved sequence 316: A0A0D6TBI5
Retrieved sequence 317: A0A0D6X9S6
Retrieved sequence 318: A0A0D7EZN8
Retrieved sequence 319: A0A0D7NWL6
Retrieved sequence 320: A0A0D7P9R8
Retrieved sequence 321: A0A0D7Q370
Retrieved sequence 322: A0A0D8FVP1
Retrieved sequence 323: A0A0D8HKY8
Retrieved sequence 324: A0A0D8ZTI9
Retrieved sequence 325: A0A0D8ZUC3
Retrieved sequence 326: A0A0D8ZYB3
Retrieved sequence 327: A0A0D9VCB2
Retrieved sequence 328: A0A0D9WQ95
Retrieved sequence 329: A0A0D9XYE9
Retrieved sequence 330: A0A0D9XYP8
Retrieved sequence 331: A0A0D9XYQ4
Retrieved sequence 332: A0A0D9XYQ6
Retrieved sequence 333: A0A0D9YME3
Retrieved sequence 334: A0A0E0BR97
Retrieved sequence 335: A0A0E0BRJ3
Retrieved sequence 336: A0A0E0BRJ4
Retrieved sequence 337: A0A0E0BRJ5
Retrieved sequence 338: A0A0E0BRJ7
Retrieved sequence 339: A0A0E0CFR8
Retrieved sequence 340: A0A0E0FB74
Retrieved sequence 341: A0A0E0FBF7
Retrieved sequence 342: A0A0E0FBF8
Retrieved sequence 343: A0A0E0FBF9
Retrieved sequence 344: A0A0E0FBG0
Retrieved sequence 345: A0A0E0FBG1
Retrieved sequence 346: A0A0E0FHH7
Retrieved sequence 347: A0A0E0J8U0
Retrieved sequence 348: A0A0E0J9A3
Retrieved sequence 349: A0A0E0J9A4
Retrieved sequence 350: A0A0E0JVM0
Retrieved sequence 351: A0A0E0JVM1
Retrieved sequence 352: A0A0E0MLA3
Retrieved sequence 353: A0A0E0MLI8
Retrieved sequence 354: A0A0E0MLI9
Retrieved sequence 355: A0A0E0MLJ0
Retrieved sequence 356: A0A0E0MLJ2
Retrieved sequence 357: A0A0E0MLJ3
Retrieved sequence 358: A0A0E0RFV9
Retrieved sequence 359: A0A0E0RG66
Retrieved sequence 360: A0A0E0RG67
Retrieved sequence 361: A0A0E0RG69
Retrieved sequence 362: A0A0E2ZAF2
Retrieved sequence 363: A0A0E4BSH5
Retrieved sequence 364: A0A0E4CR02
Retrieved sequence 365: A0A0E9MKN6
Retrieved sequence 366: A0A0F5YCY6
Retrieved sequence 367: A0A0F5YGQ4
Retrieved sequence 368: A0A0F5YL88
Retrieved sequence 369: A0A0F6A3A0
Retrieved sequence 370: A0A0F6RA30
Retrieved sequence 371: A0A0F6RMT0
Retrieved sequence 372: A0A0F6U6S6
Retrieved sequence 373: A0A0F6YE25
Retrieved sequence 374: A0A0F7CWM0
Retrieved sequence 375: A0A0F7CWM5
Retrieved sequence 376: A0A0F7CWM7
Retrieved sequence 377: A0A0F7CWM9
Retrieved sequence 378: A0A0F7GPH4
Retrieved sequence 379: A0A0F7GPH9
Retrieved sequence 380: A0A0F7GPQ4
Retrieved sequence 381: A0A0F7GPT3
Retrieved sequence 382: A0A0F7GQ43
Retrieved sequence 383: A0A0F7GQ72
Retrieved sequence 384: A0A0F7GQI1
Retrieved sequence 385: A0A0F7GQJ0
Retrieved sequence 386: A0A0F7GQL1
Retrieved sequence 387: A0A0F7GQN5
Retrieved sequence 388: A0A0F7GQN7
Retrieved sequence 389: A0A0F7KEK2
Retrieved sequence 390: A0A0F7KGE2
Retrieved sequence 391: A0A0F9JCV7
Retrieved sequence 392: A0A0F9X4L0
Retrieved sequence 393: A0A0G2HJT7
Retrieved sequence 394: A0A0G3BUQ3
Retrieved sequence 395: A0A0G3G2U8
Retrieved sequence 396: A0A0G4KB37
Retrieved sequence 397: A0A0G8AW14
Retrieved sequence 398: A0A0H2M8N1
Retrieved sequence 399: A0A0H3JZU5
Retrieved sequence 400: A0A0H4BCF4
Fetching page 5...
Retrieved sequence 401: A0A0H4CQS4
Retrieved sequence 402: A0A0H4CRK9
Retrieved sequence 403: A0A0H4CRL7
Retrieved sequence 404: A0A0H4CTL4
Retrieved sequence 405: A0A0H4CWQ5
Retrieved sequence 406: A0A0H4CY05
Retrieved sequence 407: A0A0H4CY15
Retrieved sequence 408: A0A0H4NYX7
Retrieved sequence 409: A0A0H4SQG1
Retrieved sequence 410: A0A0H5ASB3
Retrieved sequence 411: A0A0H5B826
Retrieved sequence 412: A0A0H5B9I7
Retrieved sequence 413: A0A0H5BHG6
Retrieved sequence 414: A0A0J1CYI2
Retrieved sequence 415: A0A0J6BD00
Retrieved sequence 416: A0A0K1DCQ9
Retrieved sequence 417: A0A0K1S2R2
Retrieved sequence 418: A0A0K1S352
Retrieved sequence 419: A0A0K2RW46
Retrieved sequence 420: A0A0K2SQ66
Retrieved sequence 421: A0A0K6HSQ8
Retrieved sequence 422: A0A0K8P2U0
Retrieved sequence 423: A0A0K9NJB1
Retrieved sequence 424: A0A0K9P837
Retrieved sequence 425: A0A0K9PUU1
Retrieved sequence 426: A0A0L0IV74
Retrieved sequence 427: A0A0L0MI94
Retrieved sequence 428: A0A0L9TEK8
Retrieved sequence 429: A0A0L9VMJ2
Retrieved sequence 430: A0A0M1JA16
Retrieved sequence 431: A0A0M1JHR1
Retrieved sequence 432: A0A0M1JVF8
Retrieved sequence 433: A0A0M1JVG4
Retrieved sequence 434: A0A0M2PYF3
Retrieved sequence 435: A0A0M2Q1L7
Retrieved sequence 436: A0A0M4M0L8
Retrieved sequence 437: A0A0M4PNW9
Retrieved sequence 438: A0A0M4T2C9
Retrieved sequence 439: A0A0M4TUW3
Retrieved sequence 440: A0A0M4TYT0
Retrieved sequence 441: A0A0M5NC35
Retrieved sequence 442: A0A0N0JE41
Retrieved sequence 443: A0A0N0ZPI5
Retrieved sequence 444: A0A0N1AKC0
Retrieved sequence 445: A0A0N1LQM1
Retrieved sequence 446: A0A0N7JZN2
Retrieved sequence 447: A0A0N7M169
Retrieved sequence 448: A0A0N8KPW9
Retrieved sequence 449: A0A0P0M7A1
Retrieved sequence 450: A0A0P0RM55
Retrieved sequence 451: A0A0P0Y9S5
Retrieved sequence 452: A0A0P4UW63
Retrieved sequence 453: A0A0P4UWR5
Retrieved sequence 454: A0A0P4V3S8
Retrieved sequence 455: A0A0P6VHX6
Retrieved sequence 456: A0A0P7YRY2
Retrieved sequence 457: A0A0P7YTW3
Retrieved sequence 458: A0A0P8A9L4
Retrieved sequence 459: A0A0P8DAL9
Retrieved sequence 460: A0A0P9EA66
Retrieved sequence 461: A0A0P9EKZ3
Retrieved sequence 462: A0A0P9HFU3
Retrieved sequence 463: A0A0Q2LJD5
Retrieved sequence 464: A0A0Q3FEP9
Retrieved sequence 465: A0A0Q4XR60
Retrieved sequence 466: A0A0Q5NYM8
Retrieved sequence 467: A0A0Q6A9K9
Retrieved sequence 468: A0A0Q6CN67
Retrieved sequence 469: A0A0Q6DIE3
Retrieved sequence 470: A0A0Q6EEI3
Retrieved sequence 471: A0A0Q6F8T3
Retrieved sequence 472: A0A0Q6MAU3
Retrieved sequence 473: A0A0Q6NNX6
Retrieved sequence 474: A0A0Q7AIN7
Retrieved sequence 475: A0A0Q7D7M5
Retrieved sequence 476: A0A0Q7DQ35
Retrieved sequence 477: A0A0Q7NGK0
Retrieved sequence 478: A0A0Q8DIH7
Retrieved sequence 479: A0A0Q8HQY1
Retrieved sequence 480: A0A0R0EST5
Retrieved sequence 481: A0A0R0F1D6
Retrieved sequence 482: A0A0R0F1Q5
Retrieved sequence 483: A0A0R0F5X7
Retrieved sequence 484: A0A0R0GHW8
Retrieved sequence 485: A0A0R0IXA7
Retrieved sequence 486: A0A0R0LHS7
Retrieved sequence 487: A0A0R0LUW8
Retrieved sequence 488: A0A0R0M7K0
Retrieved sequence 489: A0A0R0M831
Retrieved sequence 490: A0A0R0MEB9
Retrieved sequence 491: A0A0R0MEZ0
Retrieved sequence 492: A0A0R3CP64
Retrieved sequence 493: A0A0R3LL91
Retrieved sequence 494: A0A0R3LM07
Retrieved sequence 495: A0A0R3N733
Retrieved sequence 496: A0A0R3N8N2
Retrieved sequence 497: A0A0R6LUN5
Retrieved sequence 498: A0A0S0GBG1
Retrieved sequence 499: A0A0S2QDC6
Retrieved sequence 500: A0A0S2RRH6
Fetching page 6...
Retrieved sequence 501: A0A0S2RRH8
Retrieved sequence 502: A0A0S2RRN5
Retrieved sequence 503: A0A0S2T9N5
Retrieved sequence 504: A0A0S2TAR1
Retrieved sequence 505: A0A0S2TDU8
Retrieved sequence 506: A0A0S3AFG4
Retrieved sequence 507: A0A0S3AHZ4
Retrieved sequence 508: A0A0S3IU26
Retrieved sequence 509: A0A0S3IU35
Retrieved sequence 510: A0A0S3IU53
Retrieved sequence 511: A0A0S3IU56
Retrieved sequence 512: A0A0S3IU62
Retrieved sequence 513: A0A0S3IU66
Retrieved sequence 514: A0A0S3IU68
Retrieved sequence 515: A0A0S3IU69
Retrieved sequence 516: A0A0S3IU77
Retrieved sequence 517: A0A0S3IU81
Retrieved sequence 518: A0A0S3IUA1
Retrieved sequence 519: A0A0S3IUA6
Retrieved sequence 520: A0A0S3IUA8
Retrieved sequence 521: A0A0S3IUB5
Retrieved sequence 522: A0A0S3IUB9
Retrieved sequence 523: A0A0S3IUD7
Retrieved sequence 524: A0A0S3IUE9
Retrieved sequence 525: A0A0S3IUJ5
Retrieved sequence 526: A0A0S3IUJ8
Retrieved sequence 527: A0A0S3IUK8
Retrieved sequence 528: A0A0S3IUX2
Retrieved sequence 529: A0A0S3IUY1
Retrieved sequence 530: A0A0S3IUY7
Retrieved sequence 531: A0A0S3IUZ9
Retrieved sequence 532: A0A0S3IV16
Retrieved sequence 533: A0A0S3IV22
Retrieved sequence 534: A0A0S3IV34
Retrieved sequence 535: A0A0S3IVJ3
Retrieved sequence 536: A0A0S3R8H4
Retrieved sequence 537: A0A0S3T9H5
Retrieved sequence 538: A0A0S3TQG3
Retrieved sequence 539: A0A0S3TSV6
Retrieved sequence 540: A0A0S3TSX9
Retrieved sequence 541: A0A0S3U0L8
Retrieved sequence 542: A0A0S3U0U9
Retrieved sequence 543: A0A0S3UAE1
Retrieved sequence 544: A0A0S4IJL0
Retrieved sequence 545: A0A0S6UMK3
Retrieved sequence 546: A0A0S7Z1I3
Retrieved sequence 547: A0A0S7ZZH3
Retrieved sequence 548: A0A0S8ACL0
Retrieved sequence 549: A0A0S8ACX0
Retrieved sequence 550: A0A0S8B3J2
Retrieved sequence 551: A0A0S8BDV9
Retrieved sequence 552: A0A0S8BJS2
Retrieved sequence 553: A0A0S8DSI0
Retrieved sequence 554: A0A0S8DTC9
Retrieved sequence 555: A0A0S8ETZ4
Retrieved sequence 556: A0A0S8F5K2
Retrieved sequence 557: A0A0S8F7Y4
Retrieved sequence 558: A0A0S8FAG9
Retrieved sequence 559: A0A0S8FHV4
Retrieved sequence 560: A0A0S8KYC5
Retrieved sequence 561: A0A0T2YKY0
Retrieved sequence 562: A0A0T5ZKV4
Retrieved sequence 563: A0A0T6A3S9
Retrieved sequence 564: A0A0T7BPR4
Retrieved sequence 565: A0A0T7BQ07
Retrieved sequence 566: A0A0T7BTK8
Retrieved sequence 567: A0A0U1WP30
Retrieved sequence 568: A0A0U2HL16
Retrieved sequence 569: A0A0U2J581
Retrieved sequence 570: A0A0U2NYS7
Retrieved sequence 571: A0A0U2V4D5
Retrieved sequence 572: A0A0U3SQI1
Retrieved sequence 573: A0A0U5EAY9
Retrieved sequence 574: A0A0U5EB02
Retrieved sequence 575: A0A0U5IC95
Retrieved sequence 576: A0A0U5IJP8
Retrieved sequence 577: A0A0U5IQH1
Retrieved sequence 578: A0A0U5JG77
Retrieved sequence 579: A0A0V0HC68
Retrieved sequence 580: A0A0V0PY72
Retrieved sequence 581: A0A0V7ZD73
Retrieved sequence 582: A0A0V7ZRM3
Retrieved sequence 583: A0A0V7ZY64
Retrieved sequence 584: A0A0W1RR90
Retrieved sequence 585: A0A0X3T6S9
Retrieved sequence 586: A0A0X3TA82
Retrieved sequence 587: A0A0X3TCI5
Retrieved sequence 588: A0A0X3TJS0
Retrieved sequence 589: A0A0X3UC90
Retrieved sequence 590: A0A0X8CPQ9
Retrieved sequence 591: A0A0X8X6L7
Retrieved sequence 592: A0A101KUB6
Retrieved sequence 593: A0A103XB40
Retrieved sequence 594: A0A103Y1B7
Retrieved sequence 595: A0A103Y1D2
Retrieved sequence 596: A0A109K0N3
Retrieved sequence 597: A0A117I6W9
Retrieved sequence 598: A0A118JM49
Retrieved sequence 599: A0A118JZN2
Retrieved sequence 600: A0A120HYE5
Fetching page 7...
Retrieved sequence 601: A0A125YIL8
Retrieved sequence 602: A0A125YPN7
Retrieved sequence 603: A0A125YYX7
Retrieved sequence 604: A0A126G1E3
Retrieved sequence 605: A0A127K5M8
Retrieved sequence 606: A0A128EXI8
Retrieved sequence 607: A0A128EZ54
Retrieved sequence 608: A0A132MHG4
Retrieved sequence 609: A0A132N3E6
Retrieved sequence 610: A0A135HWJ3
Retrieved sequence 611: A0A135I5C7
Retrieved sequence 612: A0A139BQ23
Retrieved sequence 613: A0A139BSW8
Retrieved sequence 614: A0A139BT35
Retrieved sequence 615: A0A139WVQ3
Retrieved sequence 616: A0A139X4G0
Retrieved sequence 617: A0A139XF22
Retrieved sequence 618: A0A140K6D0
Retrieved sequence 619: A0A140K6D4
Retrieved sequence 620: A0A140KFJ3
Retrieved sequence 621: A0A141BSE9
Retrieved sequence 622: A0A141SCW3
Retrieved sequence 623: A0A141SDG0
Retrieved sequence 624: A0A141SE10
Retrieved sequence 625: A0A141SEL1
Retrieved sequence 626: A0A141SFC0
Retrieved sequence 627: A0A149PDG3
Retrieved sequence 628: A0A149VTR1
Retrieved sequence 629: A0A149W152
Retrieved sequence 630: A0A150GWN1
Retrieved sequence 631: A0A150UB02
Retrieved sequence 632: A0A151SMC1
Retrieved sequence 633: A0A151SRR2
Retrieved sequence 634: A0A151SXE5
Retrieved sequence 635: A0A151T097
Retrieved sequence 636: A0A158ABQ2
Retrieved sequence 637: A0A158AH67
Retrieved sequence 638: A0A158BHM4
Retrieved sequence 639: A0A158BIB0
Retrieved sequence 640: A0A158BTW9
Retrieved sequence 641: A0A158DXM0
Retrieved sequence 642: A0A158E685
Retrieved sequence 643: A0A158EDI6
Retrieved sequence 644: A0A158EDZ7
Retrieved sequence 645: A0A158EV45
Retrieved sequence 646: A0A158F3G9
Retrieved sequence 647: A0A158F853
Retrieved sequence 648: A0A158FMN6
Retrieved sequence 649: A0A158JI13
Retrieved sequence 650: A0A158JSW7
Retrieved sequence 651: A0A158L478
Retrieved sequence 652: A0A160DVD4
Retrieved sequence 653: A0A160V2J4
Retrieved sequence 654: A0A161GLE2
Retrieved sequence 655: A0A161XRN7
Retrieved sequence 656: A0A162BMP0
Retrieved sequence 657: A0A162CML2
Retrieved sequence 658: A0A163C2T7
Retrieved sequence 659: A0A163G7T5
Retrieved sequence 660: A0A164AQ66
Retrieved sequence 661: A0A164M0M6
Retrieved sequence 662: A0A166KQG8
